NC_000866|Enterobacteria phage T4|
NP_049769.1|0|
NP_049770.1|0|
NP_049771.1|0|
NP_049772.1|0|
NP_049773.1|0|
NP_049774.1|0|
NP_049775.1|0|
NP_049776.1|0|
NP_049777.1|0|
NP_049778.1|0|
NP_049779.1|0|
NP_049780.1|0|
NP_049781.1|2|
NP_049782.1|1|
NP_049783.1|0|
NP_049784.1|0|
NP_049785.1|1|
NP_049786.1|1|
NP_049787.1|0|
NP_049788.2|0|
NP_049789.1|0|
NP_049790.1|0|
NP_049791.1|0|
NP_049792.1|0|
NP_049793.1|0|
NP_049794.1|0|
NP_049795.1|0|
NP_049796.1|0|
NP_049797.1|0|
NP_049798.1|0|
NP_049799.2|0|
NP_049800.1|0|
NP_049801.1|0|
NP_049802.1|0|
NP_049803.1|0|
NP_049804.2|0|
NP_049805.1|0|
NP_049806.1|0|
NP_049807.1|0|
NP_049808.1|0|
NP_049809.1|0|
NP_049810.1|0|
NP_049811.1|0|
NP_049812.1|0|
NP_049813.1|2|
NP_049814.1|0|
NP_049815.1|0|
NP_049816.1|0|
NP_049817.1|0|
NP_049818.1|0|
NP_049819.1|0|
NP_049820.1|0|
NP_049821.1|0|
NP_049822.1|0|
NP_049823.1|0|
NP_049824.1|0|
NP_049825.1|0|
NP_049826.1|0|
NP_049827.1|0|
NP_049828.1|2|
NP_049829.1|0|
NP_049830.1|0|
NP_049831.1|0|
NP_049832.1|0|
NP_049833.1|0|
NP_049834.1|0|
NP_049835.1|0|
NP_049836.2|0|
NP_049837.1|0|
NP_049838.1|0|
NP_049839.1|0|
NP_049840.1|0|
NP_049841.1|1|
NP_049842.1|0|
NP_049843.1|0|
NP_049844.1|0|
NP_049845.1|5|
NP_049846.1|0|
NP_049847.1|0|
NP_049848.1|2|
NP_049849.3|0|
NP_049850.1|0|
NP_049851.1|0|
NP_049852.1|0|
NP_049853.1|0|
NP_049854.1|0|
NP_049855.1|0|
NP_049856.1|0|
NP_049857.1|0|
NP_049858.1|0|
NP_049859.1|3|
NP_049860.1|0|
NP_049861.1|0|
NP_049862.1|0|
NP_049863.1|0|
NP_049864.1|0|
NP_049865.1|0|
NP_049866.1|0|
NP_049867.1|0|
NP_049868.1|0|
NP_049869.1|0|
NP_049870.1|0|
NP_049871.1|0|
NP_049872.2|0|
NP_049873.1|0|
NP_049874.1|0|
NP_049875.1|0|
NP_049876.1|0|
NP_049877.1|0|
NP_049878.1|0|
NP_049879.1|0|
NP_049880.1|0|
NP_049881.1|0|
NP_049882.1|0|
NP_049883.1|0|
NP_049884.1|0|
NP_049885.1|0|
NP_049886.1|0|
NP_049887.1|0|
NP_049888.1|0|
NP_049889.1|0|
NP_813808.1|0|
NP_813809.1|0|
NP_813810.1|1|
NP_813811.1|0|
*
NC_000872|Streptococcus phage Sfi21|
NP_049966.1|0|
NP_049967.1|0|
NP_049968.1|0|
NP_049969.1|0|
NP_049970.1|2|
NP_049971.1|0|
NP_049972.1|0|
NP_049973.1|0|
NP_049974.1|0|
NP_049975.1|0|
NP_049976.1|0|
NP_049977.1|0|
NP_049978.1|0|
NP_049979.1|0|
NP_049980.1|0|
NP_049981.1|0|
NP_049982.1|0|
NP_049983.1|0|
NP_049984.1|0|
NP_049985.1|0|
NP_049986.1|0|
NP_049987.1|0|
NP_049988.1|0|
NP_049989.1|0|
NP_049990.1|0|
NP_049991.1|0|
NP_049992.1|0|
NP_049993.1|0|
NP_049994.1|0|
NP_049995.1|0|
NP_049996.1|0|
NP_049997.1|0|
NP_049998.1|0|
NP_049999.1|0|
NP_050000.1|0|
NP_050001.1|0|
NP_050002.1|0|
NP_050003.1|0|
NP_597800.1|0|
NP_597801.1|0|
NP_597802.1|0|
NP_597803.1|0|
NP_597804.1|0|
NP_597805.1|0|
NP_597806.1|0|
NP_597807.1|0|
NP_597808.1|0|
NP_597809.1|0|
NP_597810.1|0|
NP_597811.1|0|
*
NC_000896|Lactobacillus phage phiadh|
NP_050109.1|0|
NP_050110.1|0|
NP_050111.1|0|
NP_050112.1|0|
NP_050113.1|0|
NP_050114.1|0|
NP_050115.1|0|
NP_050116.1|0|
NP_050117.1|0|
NP_050118.1|0|
NP_050119.1|0|
NP_050120.1|0|
NP_050121.1|0|
NP_050122.1|0|
NP_050123.1|0|
NP_050124.1|0|
NP_050125.1|0|
NP_050126.1|0|
NP_050127.1|1|
NP_050128.1|1|
NP_050129.1|0|
NP_050130.1|0|
NP_050131.1|1|
NP_050132.1|0|
NP_050133.1|0|
NP_050134.1|0|
NP_050135.1|0|
NP_050136.1|0|
NP_050137.1|0|
NP_050138.1|0|
NP_050139.1|0|
NP_050140.1|0|
NP_050141.1|0|
NP_050142.1|0|
NP_050143.1|0|
NP_050144.1|0|
NP_050145.1|0|
NP_050146.1|0|
NP_050147.1|0|
NP_050148.1|0|
NP_050149.1|0|
NP_050150.1|1|
NP_050151.1|0|
NP_050152.1|0|
NP_050153.1|0|
NP_050154.1|0|
NP_050155.1|0|
NP_050156.1|0|
NP_050157.1|0|
NP_050158.1|0|
NP_050159.1|0|
NP_050160.1|1|
NP_050161.1|0|
NP_050162.1|0|
NP_050163.1|0|
NP_050164.1|0|
NP_050165.1|0|
NP_050166.1|0|
NP_050167.1|0|
NP_050168.1|0|
NP_050169.1|0|
NP_050170.1|0|
NP_050171.1|0|
*
NC_000902|Enterobacteria phage VT2-Sakai|
NP_050500.1|0|
NP_050501.1|0|
NP_050502.1|0|
NP_050503.1|0|
NP_050504.1|0|
NP_050505.1|0|
NP_050506.1|0|
NP_050507.1|0|
NP_050508.1|0|
NP_050509.1|0|
NP_050510.1|0|
NP_050511.1|0|
NP_050512.1|0|
NP_050513.1|12|
NP_050514.1|0|
NP_050515.1|0|
NP_050516.1|0|
NP_050517.1|0|
NP_050518.1|0|
NP_050519.1|0|
NP_050520.1|0|
NP_050521.1|0|
NP_050522.1|1|
NP_050523.1|0|
NP_050524.1|0|
NP_050525.1|0|
NP_050526.1|5|
NP_050527.1|1|
NP_050528.1|0|
NP_050529.1|0|
NP_050530.1|0|
NP_050531.1|0|
NP_050532.1|0|
NP_050533.1|0|
NP_050534.1|0|
NP_050535.1|0|
NP_050536.1|0|
NP_050537.1|0|
NP_050538.1|0|
NP_050539.1|0|
NP_050540.1|0|
NP_050541.1|0|
NP_050542.1|0|
NP_050543.1|0|
NP_050544.1|0|
NP_050545.1|0|
NP_050546.1|0|
NP_050547.1|0|
NP_050548.1|0|
NP_050549.1|3|
NP_050550.1|1|
NP_050551.1|0|
NP_050552.1|0|
NP_050553.1|0|
NP_050554.1|0|
NP_050555.1|0|
NP_050556.1|0|
NP_050557.1|0|
NP_050558.1|0|
NP_050559.1|0|
NP_050560.1|0|
NP_050561.1|0|
NP_050562.1|0|
NP_050563.1|0|
NP_050564.1|0|
NP_050565.1|0|
NP_050566.1|0|
NP_050567.1|0|
NP_050568.1|0|
NP_050569.1|0|
NP_050570.1|3|
NP_050571.1|0|
NP_050572.1|0|
NP_050573.1|0|
NP_050574.1|0|
NP_050575.1|0|
NP_050576.1|0|
NP_050577.1|0|
NP_050578.1|0|
NP_050579.1|1|
NP_597694.1|0|
NP_597695.1|0|
YP_089649.1|0|
*
NC_000924|Enterobacteria phage 933W|
NP_049461.1|0|
NP_049462.1|0|
NP_049463.1|0|
NP_049464.1|0|
NP_049465.1|0|
NP_049466.1|0|
NP_049467.1|0|
NP_049468.1|0|
NP_049469.1|0|
NP_049470.1|0|
NP_049471.1|0|
NP_049472.1|0|
NP_049473.1|0|
NP_049474.1|12|
NP_049475.1|0|
NP_049476.1|0|
NP_049477.1|0|
NP_049478.1|0|
NP_049479.1|0|
NP_049480.1|0|
NP_049481.1|0|
NP_049482.1|0|
NP_049483.1|0|
NP_049484.1|0|
NP_049485.1|0|
NP_049486.1|0|
NP_049487.1|0|
NP_049488.1|0|
NP_049489.1|0|
NP_049490.1|0|
NP_049491.1|0|
NP_049492.1|0|
NP_049493.1|0|
NP_049494.1|0|
NP_049495.1|1|
NP_049496.1|0|
NP_049497.1|0|
NP_049498.1|0|
NP_049499.1|0|
NP_049500.1|0|
NP_049501.1|0|
NP_049502.1|0|
NP_049503.1|0|
NP_049504.1|0|
NP_049505.1|0|
NP_049506.1|0|
NP_049507.1|0|
NP_049508.1|0|
NP_049509.1|0|
NP_049510.1|0|
NP_049511.1|3|
NP_049512.1|1|
NP_049513.1|0|
NP_049514.1|0|
NP_049515.1|0|
NP_049516.1|0|
NP_049517.1|0|
NP_049518.1|0|
NP_049519.1|0|
NP_049520.1|0|
NP_049521.1|0|
NP_049522.1|0|
NP_049523.1|0|
NP_049524.1|0|
NP_049525.1|0|
NP_049526.1|0|
NP_049527.1|0|
NP_049528.1|0|
NP_049529.1|0|
NP_049530.1|0|
NP_049531.1|0|
NP_049532.1|3|
NP_049533.1|0|
NP_049534.1|0|
NP_049535.1|0|
NP_049536.1|0|
NP_049537.1|0|
NP_049538.1|0|
NP_049539.1|0|
NP_049540.1|1|
*
NC_000929|Enterobacteria phage Mu|
NP_050605.1|0|
NP_050606.1|0|
NP_050607.1|0|
NP_050608.1|0|
NP_050609.1|0|
NP_050610.1|0|
NP_050611.1|0|
NP_050612.1|0|
NP_050613.1|0|
NP_050614.1|0|
NP_050615.1|0|
NP_050616.1|0|
NP_050617.1|0|
NP_050618.1|0|
NP_050619.1|0|
NP_050620.1|0|
NP_050621.1|0|
NP_050622.1|0|
NP_050623.1|0|
NP_050624.1|0|
NP_050625.1|0|
NP_050626.1|0|
NP_050627.1|0|
NP_050628.1|0|
NP_050629.1|0|
NP_050630.1|0|
NP_050631.1|0|
NP_050632.1|0|
NP_050633.1|0|
NP_050634.1|0|
NP_050635.1|0|
NP_050636.1|0|
NP_050637.1|0|
NP_050638.1|0|
NP_050639.1|0|
NP_050640.1|0|
NP_050641.1|0|
NP_050642.1|0|
NP_050643.1|2|
NP_050644.1|0|
NP_050645.1|0|
NP_050646.1|0|
NP_050647.1|0|
NP_050648.1|0|
NP_050649.1|0|
NP_050650.1|0|
NP_050651.1|0|
NP_050652.1|0|
NP_050653.1|0|
NP_050654.1|0|
NP_050655.1|0|
NP_050656.1|0|
NP_050657.1|0|
NP_602302.1|0|
NP_602303.1|0|
*
NC_000935|Endosymbiont phage APSE-1|
NP_050962.1|0|
NP_050963.1|0|
NP_050964.1|0|
NP_050965.1|0|
NP_050966.1|0|
NP_050967.1|0|
NP_050968.1|0|
NP_050969.1|0|
NP_050970.1|0|
NP_050971.1|0|
NP_050972.1|0|
NP_050973.1|0|
NP_050974.1|3|
NP_050975.1|0|
NP_050976.1|0|
NP_050977.1|0|
NP_050978.1|0|
NP_050979.1|1|
NP_050980.1|13|
NP_050981.1|0|
NP_050982.1|0|
NP_050983.1|0|
NP_050984.1|0|
NP_050985.1|0|
NP_050986.1|0|
NP_050987.1|0|
NP_050988.1|0|
NP_050989.1|0|
NP_050990.1|0|
NP_050991.1|0|
NP_050992.1|0|
NP_050993.1|0|
NP_050994.1|0|
NP_050995.1|0|
NP_050996.1|0|
NP_050997.1|0|
NP_050998.1|0|
NP_050999.1|0|
NP_051000.1|0|
NP_051001.1|0|
NP_051002.1|5|
NP_051003.1|0|
NP_051004.1|0|
NP_051005.1|1|
NP_051006.1|1|
NP_051007.1|0|
NP_051008.1|0|
NP_051009.1|0|
NP_051010.1|0|
NP_051011.1|0|
NP_051012.1|3|
NP_051013.1|0|
NP_051014.1|0|
NP_051015.1|0|
*
NC_001271|Yersinia phage phiYeO3-12|
NP_052065.1|0|
NP_052067.1|0|
NP_052068.1|0|
NP_052070.1|0|
NP_052071.1|1|
NP_052072.1|0|
NP_052073.1|0|
NP_052074.1|0|
NP_052075.1|0|
NP_052076.1|0|
NP_052077.1|0|
NP_052078.1|0|
NP_052079.1|0|
NP_052080.1|0|
NP_052081.1|0|
NP_052082.1|0|
NP_052083.1|7|
NP_052084.1|0|
NP_052086.1|0|
NP_052087.1|6|
NP_052088.1|6|
NP_052089.1|0|
NP_052090.1|0|
NP_052091.1|0|
NP_052092.1|0|
NP_052093.1|7|
NP_052094.1|7|
NP_052095.1|0|
NP_052096.1|0|
NP_052097.1|0|
NP_052098.1|0|
NP_052100.1|0|
NP_052101.1|0|
NP_052102.1|0|
NP_052103.1|0|
NP_052104.1|0|
NP_052105.1|0|
NP_052106.1|1|
NP_052107.1|0|
NP_052108.1|0|
NP_052109.1|0|
NP_052110.1|0|
NP_052111.1|0|
NP_052112.1|0|
NP_052114.1|0|
NP_052115.1|0|
NP_052116.1|1|
NP_052117.1|0|
NP_052118.1|0|
NP_052119.1|0|
NP_052120.1|0|
NP_052121.1|0|
NP_052122.1|2|
NP_052123.1|0|
NP_052124.1|0|
NP_052125.1|0|
NP_072070.1|0|
NP_072071.1|0|
NP_072072.1|1|
*
NC_001330|Enterobacteria phage alpha3|
NP_039590.1|1|
NP_039591.1|0|
NP_039592.1|0|
NP_039593.1|0|
NP_039594.1|1|
NP_039595.1|0|
NP_039596.1|0|
NP_039597.1|2|
NP_039598.1|0|
NP_039599.1|0|
*
NC_001331|Pseudomonas phage Pf1|
NP_039600.1|0|
NP_039601.1|0|
NP_039602.1|0|
NP_039603.1|0|
NP_039604.1|0|
NP_039605.1|0|
NP_039606.1|0|
NP_039607.1|2|
NP_039608.1|0|
NP_039609.1|0|
NP_039610.1|0|
NP_039611.1|1|
NP_039612.1|0|
NP_039613.1|1|
*
NC_001332|Enterobacteria phage I2-2|
NP_039614.1|3|
NP_039615.1|0|
NP_039616.1|0|
NP_039617.1|0|
NP_039618.1|0|
NP_039619.1|0|
NP_039620.1|0|
NP_039621.1|0|
NP_039622.1|0|
*
NC_001335|Mycobacterium phage L5|
NP_039668.1|0|
NP_039669.1|0|
NP_039670.1|0|
NP_039671.1|0|
NP_039672.1|0|
NP_039673.1|0|
NP_039674.1|0|
NP_039675.1|0|
NP_039676.1|0|
NP_039677.1|0|
NP_039678.1|0|
NP_039679.1|0|
NP_039680.1|0|
NP_039681.1|0|
NP_039682.1|0|
NP_039683.1|0|
NP_039684.1|0|
NP_039685.1|0|
NP_039686.1|0|
NP_039687.1|0|
NP_039688.1|0|
NP_039690.1|1|
NP_039691.1|0|
NP_039692.1|0|
NP_039693.1|0|
NP_039694.1|0|
NP_039695.1|0|
NP_039696.1|0|
NP_039697.1|0|
NP_039699.1|0|
NP_039700.1|0|
NP_039701.1|1|
NP_039702.1|0|
NP_039703.1|0|
NP_039704.1|0|
NP_039705.1|0|
NP_039706.1|0|
NP_039707.1|0|
NP_039708.1|1|
NP_039709.1|0|
NP_039710.1|0|
NP_039711.1|0|
NP_039712.1|0|
NP_039713.1|0|
NP_039714.1|0|
NP_039715.1|0|
NP_039716.1|0|
NP_039717.1|0|
NP_039718.1|0|
NP_039719.1|0|
NP_039720.1|0|
NP_039721.1|0|
NP_039722.1|0|
NP_039723.1|1|
NP_039724.1|0|
NP_039725.1|0|
NP_039726.1|0|
NP_039727.1|0|
NP_039728.1|1|
NP_039729.1|3|
NP_039730.1|0|
NP_039731.1|0|
NP_039732.1|0|
NP_039733.1|0|
NP_039734.1|0|
NP_039735.1|0|
NP_039736.1|0|
NP_039737.1|0|
NP_039738.1|0|
NP_039739.1|0|
NP_039740.1|0|
NP_039741.1|0|
NP_039742.1|0|
NP_039743.1|0|
NP_039744.1|0|
NP_039745.1|0|
NP_039746.1|0|
NP_039747.1|0|
NP_039748.1|0|
NP_039749.1|0|
NP_039750.1|0|
NP_039751.1|0|
NP_039752.1|0|
YP_009000606.1|0|
YP_009000607.1|0|
YP_009000608.1|0|
YP_009000609.1|0|
YP_009000610.1|0|
YP_009000611.1|0|
YP_009000612.1|0|
*
NC_001365|Spiroplasma phage 1-R8A2B|
NP_040337.2|0|
NP_040338.1|0|
NP_040339.1|0|
NP_040340.1|0|
NP_040341.1|1|
NP_040342.1|0|
NP_040343.1|0|
NP_040344.1|0|
NP_040345.1|0|
NP_040346.1|0|
NP_040347.1|0|
NP_040348.1|0|
*
NC_001416|Enterobacteria phage lambda|
NP_040580.1|0|
NP_040581.1|1|
NP_040582.1|0|
NP_040583.1|0|
NP_040584.1|0|
NP_040585.1|0|
NP_040586.1|0|
NP_040587.1|0|
NP_040588.1|0|
NP_040589.1|0|
NP_040590.1|0|
NP_040591.1|0|
NP_040592.1|0|
NP_040593.1|0|
NP_040594.1|0|
NP_040595.1|0|
NP_040596.1|0|
NP_040597.1|0|
NP_040598.1|5|
NP_040599.1|0|
NP_040600.1|0|
NP_040601.1|0|
NP_040602.1|0|
NP_040603.1|0|
NP_040604.1|0|
NP_040605.1|0|
NP_040606.1|0|
NP_040607.1|0|
NP_040608.1|0|
NP_040609.1|0|
NP_040610.1|0|
NP_040611.1|0|
NP_040612.1|0|
NP_040613.1|0|
NP_040614.1|0|
NP_040615.1|0|
NP_040616.1|0|
NP_040617.1|12|
NP_040618.1|0|
NP_040619.1|0|
NP_040620.1|0|
NP_040621.1|0|
NP_040622.1|0|
NP_040623.1|0|
NP_040625.1|0|
NP_040626.1|0|
NP_040627.1|0|
NP_040628.1|1|
NP_040629.1|0|
NP_040630.1|0|
NP_040631.1|0|
NP_040632.1|0|
NP_040633.1|0|
NP_040634.1|0|
NP_040635.1|0|
NP_040636.1|0|
NP_040637.1|0|
NP_040638.1|0|
NP_040639.1|0|
NP_040640.1|0|
NP_040641.1|0|
NP_040642.1|0|
NP_040643.1|0|
NP_040644.1|0|
NP_040645.1|0|
NP_040646.1|0|
NP_597778.1|0|
NP_597779.1|0|
NP_597780.1|0|
NP_597781.1|0|
NP_597782.1|0|
YP_001551744.1|0|
YP_001551775.1|0|
*
NC_001418|Pseudomonas phage Pf3|
NP_040651.1|0|
NP_040652.1|0|
NP_040653.1|0|
NP_040654.1|0|
NP_040655.1|1|
NP_040656.1|0|
NP_040657.1|0|
NP_040658.1|0|
NP_040659.1|0|
*
NC_001420|Enterobacteria phage G4 sensu lato|
NP_040670.2|2|
NP_040671.2|2|
NP_040672.1|0|
NP_040673.1|0|
NP_040674.1|0|
NP_040675.1|1|
NP_040676.1|0|
NP_040677.1|0|
NP_040678.1|2|
NP_040679.1|0|
NP_040680.1|0|
*
NC_001422|Enterobacteria phage phiX174 sensu lato|
NP_040703.1|2|
NP_040704.1|1|
NP_040705.1|0|
NP_040706.1|0|
NP_040707.1|0|
NP_040708.1|1|
NP_040709.1|1|
NP_040710.1|0|
NP_040711.1|1|
NP_040712.1|0|
NP_040713.1|0|
*
NC_001604|Enterobacteria phage T7|
NP_041954.1|0|
NP_041955.1|0|
NP_041956.1|0|
NP_041957.1|0|
NP_041958.1|0|
NP_041959.1|0|
NP_041960.1|0|
NP_041961.1|0|
NP_041962.1|0|
NP_041963.1|0|
NP_041964.1|0|
NP_041965.1|0|
NP_041966.1|0|
NP_041967.1|0|
NP_041968.1|0|
NP_041969.1|0|
NP_041970.1|0|
NP_041971.1|1|
NP_041972.1|8|
NP_041973.1|0|
NP_041974.1|0|
NP_041975.1|2|
NP_041976.1|0|
NP_041977.1|2|
NP_041978.1|0|
NP_041979.1|0|
NP_041980.1|0|
NP_041981.1|0|
NP_041982.1|5|
NP_041983.1|0|
NP_041984.1|0|
NP_041985.1|0|
NP_041986.1|0|
NP_041987.1|0|
NP_041988.1|0|
NP_041989.1|0|
NP_041990.1|0|
NP_041991.1|0|
NP_041992.1|0|
NP_041993.1|0|
NP_041994.1|0|
NP_041995.1|0|
NP_041996.1|0|
NP_041997.1|0|
NP_041998.1|0|
NP_041999.1|0|
NP_042000.1|0|
NP_042001.1|0|
NP_042002.1|0|
NP_042003.1|0|
NP_042004.1|2|
NP_042005.1|0|
NP_042006.1|0|
NP_042007.1|0|
NP_042008.1|0|
NP_042009.1|0|
NP_042010.1|4|
NP_042011.1|0|
NP_042012.1|0|
NP_042013.1|0|
*
NC_001609|Enterobacteria phage P4|
NP_042032.1|0|
NP_042033.1|0|
NP_042034.1|0|
NP_042035.1|5|
NP_042036.1|1|
NP_042037.1|0|
NP_042038.1|0|
NP_042039.1|0|
NP_042040.1|0|
NP_042041.1|1|
NP_042042.1|0|
NP_042043.1|0|
NP_042044.1|0|
NP_597796.1|0|
*
NC_001629|Lactococcus phage bIL67|
NP_042308.1|0|
NP_042309.1|0|
NP_042310.1|0|
NP_042311.1|0|
NP_042312.1|0|
NP_042313.1|0|
NP_042314.1|0|
NP_042315.1|0|
NP_042316.1|0|
NP_042317.1|0|
NP_042318.1|0|
NP_042319.1|0|
NP_042320.1|0|
NP_042321.2|0|
NP_042322.1|0|
NP_042323.1|0|
NP_042324.1|0|
NP_042325.1|0|
NP_042326.1|0|
NP_042327.1|0|
NP_042328.1|0|
NP_042329.1|0|
NP_042330.1|0|
NP_042331.1|0|
NP_042332.1|0|
NP_042333.1|0|
NP_042334.1|0|
NP_042335.1|0|
NP_042336.1|1|
NP_042337.1|0|
NP_042338.1|0|
NP_042339.1|0|
NP_042340.1|0|
NP_042341.1|0|
NP_042342.1|0|
NP_042343.1|0|
NP_042344.1|0|
*
NC_001697|Haemophilus phage HP1|
NP_043466.1|0|
NP_043467.1|0|
NP_043468.1|0|
NP_043469.1|0|
NP_043470.1|0|
NP_043471.1|0|
NP_043472.1|0|
NP_043473.1|0|
NP_043474.1|0|
NP_043475.1|0|
NP_043476.1|0|
NP_043477.1|0|
NP_043478.1|0|
NP_043479.1|0|
NP_043480.1|0|
NP_043481.1|1|
NP_043482.1|0|
NP_043483.1|1|
NP_043484.1|1|
NP_043485.1|3|
NP_043486.1|0|
NP_043487.1|0|
NP_043488.1|0|
NP_043489.1|0|
NP_043490.1|0|
NP_043491.1|0|
NP_043492.1|0|
NP_043493.1|0|
NP_043494.1|0|
NP_043495.1|0|
NP_043496.1|0|
NP_043497.1|0|
NP_043498.1|0|
NP_043499.1|0|
NP_043500.1|0|
NP_043501.1|0|
NP_043502.1|0|
NP_043503.1|0|
NP_043504.1|0|
NP_043505.1|0|
NP_043506.1|0|
NP_597838.1|0|
*
NC_001706|Lactococcus phage c2|
NP_043527.1|0|
NP_043528.1|0|
NP_043529.1|0|
NP_043530.1|0|
NP_043531.1|0|
NP_043532.1|0|
NP_043533.1|0|
NP_043534.1|1|
NP_043535.1|0|
NP_043536.1|0|
NP_043537.1|0|
NP_043538.1|0|
NP_043539.1|0|
NP_043540.1|0|
NP_043541.1|0|
NP_043542.1|0|
NP_043543.1|0|
NP_043544.1|0|
NP_043545.1|0|
NP_043546.1|0|
NP_043547.1|0|
NP_043548.1|0|
NP_043549.1|0|
NP_043550.1|0|
NP_043551.1|0|
NP_043552.1|0|
NP_043553.1|0|
NP_043554.1|0|
NP_043555.1|0|
NP_043556.1|0|
NP_043557.1|0|
NP_043558.1|0|
NP_043559.1|0|
NP_043560.1|0|
NP_043561.1|0|
NP_043562.1|0|
NP_043563.1|0|
NP_043564.1|0|
NP_043565.1|0|
*
NC_001835|Lactococcus phage sk1|
NP_044947.1|0|
NP_044948.1|0|
NP_044949.1|0|
NP_044950.1|0|
NP_044951.1|0|
NP_044952.1|0|
NP_044953.1|0|
NP_044954.1|0|
NP_044955.1|0|
NP_044956.1|0|
NP_044957.1|0|
NP_044958.1|0|
NP_044959.1|0|
NP_044960.1|0|
NP_044961.1|0|
NP_044962.1|0|
NP_044963.1|0|
NP_044964.1|0|
NP_044965.1|0|
NP_044966.1|0|
NP_044967.1|0|
NP_044968.1|0|
NP_044969.1|0|
NP_044970.1|0|
NP_044971.1|0|
NP_044972.1|0|
NP_044973.1|0|
NP_044974.1|0|
NP_044975.1|0|
NP_044976.1|0|
NP_044977.1|0|
NP_044978.1|0|
NP_044979.1|0|
NP_044980.1|0|
NP_044981.1|6|
NP_044982.1|0|
NP_044983.1|0|
NP_044984.1|0|
NP_044985.1|0|
NP_044986.1|0|
NP_044987.1|0|
NP_044988.1|0|
NP_044989.1|0|
NP_044990.1|0|
NP_044991.1|0|
NP_044992.1|0|
NP_044993.1|0|
NP_044994.1|0|
NP_044995.1|0|
NP_044996.1|0|
NP_044997.1|0|
NP_044998.1|0|
NP_044999.1|0|
NP_045000.1|0|
NP_597856.1|0|
NP_597857.1|0|
*
NC_001884|Bacillus phage SPbeta|
NP_046553.1|0|
NP_046554.1|0|
NP_046555.1|0|
NP_046556.1|0|
NP_046557.1|0|
NP_046558.1|0|
NP_046559.1|0|
NP_046560.1|0|
NP_046561.1|0|
NP_046562.1|0|
NP_046563.1|0|
